"","Error_rate","Error_Count","Auto_fraction","TotalWL","TotalWL_weight","MOVE_AUTO_count","MOVE_MAN_count","MOVE_MAN_weight","MOVE_AUTO_weight","CHANGE_AUTO_WW_count","CHANGE_AUTO_AA_count","CHANGE_AUTO_DD_count","CHANGE_AUTO_REMOVE_TIMER_count","SAFETY_count","PHONE_IN_count","PHONE_OUT_count","MESSAGE_OTHER_count","PHONE","JUSTIF_count","Hour","hours_worked","ADAPTATIONS_count","TRAF_COMP","TRAF_DENS_1"
"Error_rate",1,0.601,-0.145,-0.061,-0.05,-0.083,0.048,0.035,-0.075,0.016,0.034,0.083,NA,0.02,0.04,0.032,0.015,0.044,0,-0.001,0,0.053,0.159,-0.061
"Error_Count",0.601,1,-0.111,0.093,0.095,0.035,0.187,0.161,0.04,0.093,0.147,0.222,NA,0.062,0.08,0.049,0.052,0.074,0.011,-0.015,0.002,0.117,0.057,0.093
"Auto_fraction",-0.145,-0.111,1,0.239,0.106,0.462,-0.575,-0.531,0.365,-0.173,-0.261,-0.48,NA,-0.065,-0.09,-0.123,-0.044,-0.139,0.021,0.024,0.013,-0.098,-0.551,0.239
"TotalWL",-0.061,0.093,0.239,1,0.883,0.947,0.398,0.373,0.881,0.321,0.355,0.286,NA,0.141,0.081,0.005,0.146,0.038,0.099,-0.126,-0.031,0.171,-0.268,1
"TotalWL_weight",-0.05,0.095,0.106,0.883,1,0.785,0.497,0.573,0.93,0.336,0.463,0.35,NA,0.06,-0.034,-0.024,0.127,-0.034,0.054,-0.103,-0.023,0.104,-0.186,0.883
"MOVE_AUTO_count",-0.083,0.035,0.462,0.947,0.785,1,0.081,0.075,0.898,0.201,0.2,0.017,NA,0.105,0.051,-0.032,0.109,-0.005,0.099,-0.11,-0.026,0.118,-0.336,0.947
"MOVE_MAN_count",0.048,0.187,-0.575,0.398,0.497,0.081,1,0.938,0.169,0.419,0.53,0.835,NA,0.137,0.106,0.106,0.142,0.132,0.025,-0.076,-0.023,0.193,0.127,0.398
"MOVE_MAN_weight",0.035,0.161,-0.531,0.373,0.573,0.075,0.938,1,0.232,0.381,0.551,0.76,NA,0.062,0.023,0.068,0.124,0.066,-0.008,-0.063,-0.02,0.131,0.122,0.373
"MOVE_AUTO_weight",-0.075,0.04,0.365,0.881,0.93,0.898,0.169,0.232,1,0.228,0.302,0.075,NA,0.044,-0.051,-0.059,0.095,-0.07,0.067,-0.094,-0.019,0.064,-0.275,0.881
"CHANGE_AUTO_WW_count",0.016,0.093,-0.173,0.321,0.336,0.201,0.419,0.381,0.228,1,0.283,0.294,NA,0.107,0.047,0.113,0.086,0.113,0.083,-0.058,-0.022,0.15,0.075,0.321
"CHANGE_AUTO_AA_count",0.034,0.147,-0.261,0.355,0.463,0.2,0.53,0.551,0.302,0.283,1,0.156,NA,0.141,0.186,0.084,0.144,0.147,0.075,-0.079,-0.024,0.212,0.18,0.355
"CHANGE_AUTO_DD_count",0.083,0.222,-0.48,0.286,0.35,0.017,0.835,0.76,0.075,0.294,0.156,1,NA,0.055,-0.012,0.054,0.078,0.039,-0.035,-0.024,-0.002,0.082,0.076,0.286
"CHANGE_AUTO_REMOVE_TIMER_count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAFETY_count",0.02,0.062,-0.065,0.141,0.06,0.105,0.137,0.062,0.044,0.107,0.141,0.055,NA,1,0.316,0.108,0.34,0.222,0.106,-0.12,-0.049,0.552,0.014,0.141
